id,Year,Country,Emission,imgsrc
1,2008,Afghanistan,0.158961558,http://icons.veryicon.com/png/Flag/Rounded%20World%20Flags/Afghanistan%20Flag.png
2,2009,Afghanistan,0.24907353,http://icons.veryicon.com/png/Flag/Rounded%20World%20Flags/Afghanistan%20Flag.png
3,2010,Afghanistan,0.302936388,http://icons.veryicon.com/png/Flag/Rounded%20World%20Flags/Afghanistan%20Flag.png
4,2011,Afghanistan,0.425262105,http://icons.veryicon.com/png/Flag/Rounded%20World%20Flags/Afghanistan%20Flag.png
5,2008,Australia,17.70407968,https://cdn.countryflags.com/thumbs/australia/flag-round-250.png
6,2009,Australia,17.63183305,https://cdn.countryflags.com/thumbs/australia/flag-round-250.png
7,2010,Australia,16.71090435,https://cdn.countryflags.com/thumbs/australia/flag-round-250.png
8,2011,Australia,16.51920992,https://cdn.countryflags.com/thumbs/australia/flag-round-250.png
9,2008,Switzerland,5.281605848,http://www.pngall.com/wp-content/uploads/2016/05/Switzerland-Flag-PNG-HD.png
10,2009,Switzerland,5.372291182,http://www.pngall.com/wp-content/uploads/2016/05/Switzerland-Flag-PNG-HD.png
11,2010,Switzerland,4.952499256,http://www.pngall.com/wp-content/uploads/2016/05/Switzerland-Flag-PNG-HD.png
12,2011,Switzerland,4.625229924,http://www.pngall.com/wp-content/uploads/2016/05/Switzerland-Flag-PNG-HD.png
13,2008,Algeria,3.205182841,http://img.freeflagicons.com/thumb/sphere_icon/algeria/algeria_640.png
14,2009,Algeria,3.428471639,http://img.freeflagicons.com/thumb/sphere_icon/algeria/algeria_640.png
15,2010,Algeria,3.309911831,http://img.freeflagicons.com/thumb/sphere_icon/algeria/algeria_640.png
16,2011,Algeria,3.316037892,http://img.freeflagicons.com/thumb/sphere_icon/algeria/algeria_640.png
17,2008,India,1.497886363,https://cdn.countryflags.com/thumbs/india/flag-round-250.png
18,2009,India,1.619048654,https://cdn.countryflags.com/thumbs/india/flag-round-250.png
19,2010,India,1.584869945,https://cdn.countryflags.com/thumbs/india/flag-round-250.png
20,2011,India,1.662873483,https://cdn.countryflags.com/thumbs/india/flag-round-250.png
21,2008,Iraq,3.194050322,http://img.freeflagicons.com/thumb/sphere_icon/iraq/iraq_640.png
22,2009,Iraq,3.47996689,http://img.freeflagicons.com/thumb/sphere_icon/iraq/iraq_640.png
23,2010,Iraq,3.610434779,http://img.freeflagicons.com/thumb/sphere_icon/iraq/iraq_640.png
24,2011,Iraq,4.20163513,http://img.freeflagicons.com/thumb/sphere_icon/iraq/iraq_640.png
25,2008,Syria,3.360814123,http://icons.veryicon.com/png/Flag/Rounded%20World%20Flags/Syria%20Flag.png
26,2009,Syria,3.012318451,http://icons.veryicon.com/png/Flag/Rounded%20World%20Flags/Syria%20Flag.png
27,2010,Syria,2.971741072,http://icons.veryicon.com/png/Flag/Rounded%20World%20Flags/Syria%20Flag.png
28,2011,Syria,2.736990943,http://icons.veryicon.com/png/Flag/Rounded%20World%20Flags/Syria%20Flag.png
29,2008,Thailand,3.984059667,http://img.freeflagicons.com/thumb/round_icon/thailand/thailand_640.png
30,2009,Thailand,4.198511915,http://img.freeflagicons.com/thumb/round_icon/thailand/thailand_640.png
31,2010,Thailand,4.470426149,http://img.freeflagicons.com/thumb/round_icon/thailand/thailand_640.png
32,2011,Thailand,4.534491734,http://img.freeflagicons.com/thumb/round_icon/thailand/thailand_640.png
33,2008,United States,18.48923375,https://cdn3.iconfinder.com/data/icons/flags-circle/100/USA_-128.png
34,2009,United States,17.1923791,https://cdn3.iconfinder.com/data/icons/flags-circle/100/USA_-128.png
35,2010,United States,17.48479218,https://cdn3.iconfinder.com/data/icons/flags-circle/100/USA_-128.png
36,2011,United States,17.02021634,https://cdn3.iconfinder.com/data/icons/flags-circle/100/USA_-128.png
37,2008,Vietnam,1.497496085,http://img.freeflagicons.com/thumb/glossy_round_icon/vietnam/vietnam_640.png
38,2009,Vietnam,1.636370776,http://img.freeflagicons.com/thumb/glossy_round_icon/vietnam/vietnam_640.png
39,2010,Vietnam,1.76169543,http://img.freeflagicons.com/thumb/glossy_round_icon/vietnam/vietnam_640.png
40,2011,Vietnam,1.971433571,http://img.freeflagicons.com/thumb/glossy_round_icon/vietnam/vietnam_640.png
